Animal Name,Animal Type,Description,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBFAMILY,SUBORDER,SUPERFAMILY,SUBCLASS,INFRACLASS,SUPERORDER,CONTINENTS,SUBCONTINENTS,COUNTRIES,BIOGEOGRAPHICAL REALMS,WWF BIOMES,INTRODUCED COUNTRIES,OCEANS,REGIONS,Distribution Info,Population threats,Population number,Ecological niche,Conservation,POPULATION TREND,POPULATION STATUS
Mindanao pygmy fruit bat,,"The Mindanao pygmy fruit bat (Alionycteris paucidentata ) is a species of megabat in the family Pteropodidae. It is monotypic within the genus Alionycteris. It is endemic to the Philippines. Its natural habitat is subtropical or tropical dry forests. It is threatened by habitat loss. It is a high-elevation specialist which is either scarce or overtaken by tourist hotspots. As a result, this species may be seeking new elevated habitats likely in the southern region of the Philippines and along the islands of Sulawesi as well.",Animalia,Chordata,,Mammalia,Eulipotyphla,Pteropodidae,Alionycteris,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Negros shrew,,The Negros shrew (Crocidura negrina ) is a white-toothed shrew found only on the island of Negros in the Philippines. It is locally called the katsurí and is listed as a critically endangered species due to habitat loss and a restricted range.,Animalia,Chordata,,Mammalia,Rodentia,Soricidae,Crocidura,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Palawan flying squirrel,,"The Palawan flying squirrel or tapilak (Hylopetes nigripes ) is a species of rodent in the family Sciuridae. It is endemic to the Philippines.
Its natural habitat is subtropical or tropical dry forests.
Its population is decreasing as time goes on. It is a nocturnal species, and is mainly being destroyed by deforestation
SHOW LESS",Animalia,Chordata,,Mammalia,Rodentia,Sciuridae,Hylopetes,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Basilan flying squirrel,"Philippines flying squirrel, Mindanao flying squirrel",The Basilan flying squirrel (Philippines flying squirrel or Mindanao flying squirrel) (Petinomys crinitus ) is a species of rodent in the family Sciuridae. It is endemic to the Philippines. It is often confused with mindanao flying squirrel (Petinomys mindanensis ),Animalia,Chordata,,Mammalia,Chiroptera,Sciuridae,Petinomys,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Luzon fruit bat,,The Luzon fruit bat (Otopteropus cartilagonodus ) is a species of megabat in the family Pteropodidae. It is monotypic within the genus Otopteropus. It is endemic to the Philippines. Its natural habitat is subtropical or tropical dry forest. It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Rodentia,Pteropodidae,Otopteropus,,,,,,,,,,,,,,,,,,,,,Data deficient (DD)
Luzon montane forest mouse,,"The Luzon montane forest mouse (Apomys datae ) is a species of rodent in the family Muridae, from the genus Apomys.It occurs only in the Philippines, where it has been found on the large northern island Luzon (in the Cordillera Central and on the coast of Ilocos Norte). It is most closely related to the large Mindoro forest mouse, which occurs on Mindoro. There may be another related species in the Sierra Madre, but this species is yet undescribed. The Luzon montane forest mouse is a relatively large, ground-dwelling rat with a tail that is quite short for its genus.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Dinagat hairy-tailed rat,Russet batomys,Dinagat hairy-tailed rat or Russet Batomys (Batomys russatus ) is one of five species of rodent in the genus Batomys. It is in the diverse family Muridae.This species is endemic to the Philippines.,Animalia,Chordata,,Mammalia,Chiroptera,Muridae,Batomys,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Greater musky fruit bat,,The greater musky fruit bat (Ptenochirus jagori ) is a species of megabat in the family Pteropodidae. It is endemic to the Philippines. It was named by Peters for Fedor Jagor.,Animalia,Chordata,,Mammalia,Scandentia,Pteropodidae,Ptenochirus,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Calamian treeshrew,,"The Calamian treeshrew (Tupaia palawanensis ) is a treeshrew species found in the islands of Busuanga and Culion, which are part of the Calamian Islands group in the Philippines.
The German zoologist Paul Matschie first described a Calamian treeshrew from Culion that was part of a zoological collection obtained by the Berlin Zoological Museum in the present day the Natural History Museum, Berlin. He considered it a distinct species as this type specimen differed from the Palawan treeshrew by a slightly shorter muzzle, and a lighter colour of the toes, hair of the tail and chest.It is now recognised as a synonym of the Palawan treeshrew.
SHOW LESS",Animalia,Chordata,,Mammalia,Chiroptera,Tupaiidae,Tupaia,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Philippine dawn bat,,The Philippine dawn bat (Eonycteris robusta ) is a species of megabat in the family Pteropodidae found in the Philippines.,Animalia,Chordata,,Mammalia,Chiroptera,Pteropodidae,Eonycteris,,,,,,,,,,,,,,,,,,,,Decreasing,Data deficient (DD)
Small white-winged flying fox,,"The small white-winged flying fox (Desmalopex microleucopterus ) is a species of megabat in the family Pteropodidae. It is known from Mindoro Island, in the Philippines. Only 13 specimens have ever been found; 1 in 1998 and 12 found in 2006.",Animalia,Chordata,,Mammalia,Chiroptera,Pteropodidae,Desmalopex,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Fischer's pygmy fruit bat,Philippine pygmy fruit bat,The Fischer's pygmy fruit bat or Philippine pygmy fruit bat (Haplonycteris fischeri ) is a species of megabat in the family Pteropodidae. It is monotypic within the genus Haplonycteris. It is endemic to the Philippines. Its natural habitat is subtropical or tropical dry forests. It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Rodentia,Pteropodidae,Haplonycteris,,,,,,,,,,,,,Pacific Ocean,,,,,,,Unknown,Vulnerable (VU)
Short-footed Luzon tree rat,,"The short-footed Luzon tree rat or greater dwarf cloud rat (Carpomys melanurus ) is a species of rodent in the family Muridae. It is found only in the Philippines, specifically in northern Luzon. Its natural habitat is tropical moist montane forests.
This species was long thought to be extinct. In 2008, Filipino researchers including Dr. Danilo Balete found a specimen in the canopy of Mount Pulag National Park, the first scientifically observed individual of the species since 1896. The captured individual was ""about 185 grams and has dense soft reddish-brown fur, a black mask around large dark eyes, small rounded ears, a broad and blunt snout and a long tail covered with dark hair"".
SHOW LESS",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Carpomys,,,,,,,,,,,,,,,,,,,,Unknown,
Mindoro black rat,,"The Mindoro black rat (Rattus mindorensis ) is a species of rodent in the family Muridae.It is found only in hilly and forested areas of Mindoro island, the Philippines.",Animalia,Chordata,,Mammalia,Eulipotyphla,Muridae,Rattus,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Dinagat gymnure,,"The Dinagat gymnure (Podogymnura aureospinula ) is a species of mammal in the family Erinaceidae. It is endemic to the Philippines.
Its natural habitat is subtropical or tropical dry forests. It is threatened by habitat loss. The mammal is an evolutionaringly distinct and globally endangered species in the Philippines as identified by the Zoological Society of London in their EDGE species program, where it ranked 68th out of the thousands of mammal species known to humanity.
SHOW LESS",Animalia,Chordata,,Mammalia,Rodentia,Erinaceidae,Podogymnura,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Bagobo rat,,"The Bagobo rat (Bullimus bagobus ) is one of three species of rodent in the genus Bullimus, and in the diverse family Muridae.It is found in the Visayas and Mindanao, Philippines.",Animalia,Chordata,,Mammalia,Chiroptera,Muridae,Bullimus,,,,,,,,,,,,,,,,,,,,Unknown,Endangered (EN)
Lesser musky fruit bat,,The lesser musky fruit bat (Ptenochirus minor ) is a species of megabat in the family Pteropodidae. It is endemic to the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Pteropodidae,Ptenochirus,,,,,,,,,,,,,,,,,,,,Decreasing,Vulnerable (VU)
Luzon striped rat,,The Luzon striped rat (Chrotomys whiteheadi ) is a species of rodent in the family Muridae.It is found only in the Philippines.Its natural habitat is subtropical or tropical dry forest.,Animalia,Chordata,,Mammalia,Eulipotyphla,Muridae,Chrotomys,,,,,,,,,,,,,,,,,,,,Unknown,Near Threatened (NT)
Podogymnura truei,"Mindanao gymnure, Mindanao moonrat, Mindanao wood shrew","Podogymnura truei, also known as the Mindanao gymnure, Mindanao moonrat, or Mindanao wood shrew, is a mammal of the family Erinaceidae. It is endemic to the Mindanao islands of the Philippines. Erinaceidae is a family of small mammals that include the gymnures, also known as the silky furred moonrats, and the hedgehogs. Animals belonging to this family are significant because they are among the oldest known placental mammals that are alive. Gymnures are relatives of hedgehogs but lack the prickly spines. Two species are categorized in the genus Podogymnura : P. aureospinula and P. truei. Both species share a close resemblance to the moonrat Echinosorex gymnura, which is commonly found on the Borneo, Sumatra, and the Malay Peninsulas.",Animalia,Chordata,,Mammalia,Rodentia,Erinaceidae,Podogymnura,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Samar squirrel,,"The Samar squirrel (Sundasciurus samarensis ) is a species of rodent in the family Sciuridae. It was historically known as lalagsing. It is endemic to the Philippines, where it has been recorded from Samar and Leyte Islands. Its natural habitat is subtropical or tropical dry forests. It is threatened by habitat loss, due to expanding human activities, hunting, and the lack of basic knowledge about the species. They thrive in primary and secondary lowland and montane forest, including the lower edges of mossy forest. It is also found in some agricultural areas.",Animalia,Chordata,,Mammalia,Scandentia,Sciuridae,Sundasciurus,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Palawan treeshrew,,"The Palawan treeshrew (Tupaia palawanensis ) is a treeshrew species endemic to the Palawan Island, Philippines, where it occurs from sea level to an elevation of 1,400 m (4,600 ft). The population is considered steady.Formerly, it was considered a subspecies of the common treeshrew.",Animalia,Chordata,,Mammalia,Rodentia,Tupaiidae,Tupaia,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Long-nosed Luzon forest mouse,,"The long-nosed Luzon forest mouse (Apomys sacobianus ), also known as the Pinatubo volcano mouse is a species of rodent in the family Muridae.It is found only in the Philippines.Its natural habitat is subtropical or tropical dry forests.It is threatened by habitat loss.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Luzon broad-toothed rat,,"The Luzon broad-toothed rat (Abditomys latidens ) is a species of rodent in the family Muridae.
It is endemic to central and northern Luzon in the Philippines. It is the only member of the genus Abditomys.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Abditomys,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Northern Palawan tree squirrel,,The Northern Palawan tree squirrel (Sundasciurus juvencus ) is a species of rodent in the family Sciuridae. It is endemic to the Philippines. Its natural habitat is subtropical or tropical dry forests. It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Eulipotyphla,Sciuridae,Sundasciurus,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Batak shrew,,The Batak shrew (Crocidura batakorum ) is a species of shrew from the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Soricidae,Crocidura,,,,,,,,,,,,,,,,,,,,Stable,Vulnerable (VU)
Hamiguitan hairy-tailed rat,,"The Hamiguitan hairy-tailed rat (Batomys hamiguitan ) is one of five species of rodent in the genus Batomys. It is in the diverse family Muridae. This species is found only in the Philippines. is a yellow-brown animal with a long furry tail, weighs about 175 grams, and is related to several other species known in Central Mindanao, Dinagat Island and Luzon. It lives only in an area that's at least 950 meters high, and in dwarf mossy forests less than 10 square kilometers.
It was the last member of its genus to be discovered in May 2006. According to team leader and lead author Danilo Balete, ""Hamiguitan batomys is the first mammal to be described from Eastern Mindanao, and the first thought to live only in that area.""
This species corroborates the hypothesis that the island of Mindanao has multiple centers of endemism, of which the southeastern highland of Mount Hamiguitan is one.
SHOW LESS",Animalia,Chordata,,Mammalia,Eulipotyphla,Muridae,Batomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Luzon shrew,,The Luzon shrew (Crocidura grayi ) is a species of mammal in the family Soricidae. It is endemic to the Philippines. It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Eulipotyphla,Soricidae,Crocidura,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Mindanao shrew,,The Mindanao shrew (Crocidura beatus ) is a species of mammal in the family Soricidae. It is endemic to the Philippines. Its natural habitat is subtropical or tropical dry forests. It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Rodentia,Soricidae,Crocidura,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Philippine pygmy squirrel,,The Philippine pygmy squirrel (Exilisciurus concinnus ) is a species of rodent in the family Sciuridae.It is endemic to the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Sciuridae,Exilisciurus,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Mindoro climbing rat,Mindoro rat,"The Mindoro climbing rat or Mindoro rat (Anonymomys mindorensis ) is a species of rodent in the family Muridae.It is found only in the Philippines, and is known only from Ilong Peak in the Halcon Mountains. It is the only species in the genus Anonymomys.Its natural habitat is subtropical or tropical dry forest.It is threatened by habitat loss.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Anonymomys,,,,,,,,,,,,,,,,,,,,Unknown,Vulnerable (VU)
Gray-bellied mountain rat,"Gray-bellied limnomys, Buffy-collared moss-mouse","The gray-bellied mountain rat, also known as the gray-bellied limnomys and the buffy-collared moss-mouse (Limnomys bryophilus ), is a species of rodent in the family Muridae.
It is found only in the Philippines, where it is common at high elevations of the Kitanglad Mountain Range in the province of Bukidnon on the island of Mindanao. Its habitat is the moss-rich montane cloud forest from about 2,250 metres up to about 2,800 metres.
The rats, which are nocturnal, feed on the ground on arthropods, earthworms, fruit, and seeds. Although equipped with three pairs of mammae, females have been observed to give birth about once a year to only a small number of young, commonly as few as one or two.
The gray-bellied mountain rat is one of only two species in the genus Limnomys. The other, and the rat's only close relation, is the Mindanao mountain rat, Limnomys sibuanus. While gray-bellies have been recorded only in the Kitanglad Mountains, the Mindanao is considered to be endemic to the mountains of the island of Mindanao and has been recorded from Mount Apo and Mount Malindang as well as from Mount Kitanglad. It has also been observed at lower elevations, its range being between about 2,000 metres and about 2,800 metres.
The alternative name of ""buffy-collared moss-mouse"" reflects the rat's small size.
SHOW LESS",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Limnomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Camiguin forest rat,Camiguin bullimus,"Camiguin forest rat, or Camiguin bullimus (Bullimus gamay ) is one of three species of rodents in the genus Bullimus. It is endemic to the island of Camiguin, the Philippines.",Animalia,Chordata,,Mammalia,,Muridae,Bullimus,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
,,,,,,,Eulipotyphla,,,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Palawan moss shrew,,The Palawan moss shrew (Palawanosorex muscorum ) is a species of shrew found on Mount Mantalingajan in the Philippines. The shrew is one of two other unique species only found on Mount Mantalingajan.,Animalia,Chordata,,Mammalia,Rodentia,Soricidae,Palawanosorex,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Batomys uragon,Mount isarog hairy-tailed rat,"Batomys uragon (proposed common name Mount Isarog hairy-tailed rat) is a species of cloud rat endemic to the Philippines. It was first discovered in 1988, and the full description was published in 2015, in the Proceedings of the Biological Society of Washington. It is so far found only on Luzon, the largest island in the Philippines. The first specimen was collected from Mount Isarog at the southern side of the island. Other 14 specimens were later collected. It is the fourth species of mammal (so far known) living only on that mountain. The new species was described by Danilo S. Balete, Eric A. Rickart, Lawrence R. Heaney, and Sharon A. Jansa. It was classified as new species based on DNA analyses and structural descriptions (morphometric analyses). It is different from its closest relative, the Luzon hairy-tailed rat (Batomys granti ), in its cytochrome b sequence, moderate body size, colour patterns, and skull structure.
Animal name origin
The specific name uragon is a Bicol word, the language of the local people, the Bicolanos in Luzon. Having no direct English rendering, the word is loosely translated as ""possessing great ability, vitality, or power"". This is to attribute the species for its dispersal ability, persistence, and uniqueness to the Bicol Peninsula.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Batomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Mindanao mountain rat,Long-tailed moss mouse,"The Mindanao mountain rat or long-tailed moss mouse (Limnomys sibuanus ), is a species of rodent in the family Muridae. It is found only in the Philippines, where it is present at high altitudes in the Kitanglad Mountain Range on the island of Mindanao.",Animalia,Chordata,,Mammalia,Chiroptera,Muridae,Limnomys,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Rickart's dyak fruit bat,,"Rickart's dyak fruit bat (Dyacopterus rickarti ) is a species of megabat in the family Pteropodidae found in Luzon and Mindanao islands, in the Philippines.",Animalia,Chordata,,Mammalia,Rodentia,Pteropodidae,Dyacopterus,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Camiguin forest mouse,,"The Camiguin forest mouse (Apomys camiguinensis ) is a forest mouse endemic to the island of Camiguin in the southern Philippines. It has large ears and eyes, a long tail and rusty-brown fur, and it feeds mostly on insects and seeds. This description is based on mice captured during a biological survey conducted in 1994 and 1995 high on the steep slopes of one of the island's volcanoes.
In April, 2006, the new mammal, a Philippine forest mouse, now identified as Apomys camiguinensis was captured on the steep slopes of a volcano of Camiguin during a biological survey by Heaney and Tabaranza. In 2002, Heaney, Tabaranza, and Eric Rickart (from the Utah Museum of Natural History), described a different species of forest-living rodent, Bullimus gamay, from Mt. Timpoong, the same mountain where the new mouse was collected. A frog (Oreophryne nana ) named in 1967 had been thought to be the only vertebrate restricted to the island prior to the surveys by Heaney and Tabaranza. The scientists' research was described in the April 5 issue of Fieldiana: Zoology, a scientific journal about biodiversity research published by The Field Museum. It is endemically distributed to Dinagat (FMNH), Luzon (Benguet, Camarines Sur, and Isabela provinces) and Mindoro (FMNH). It is abundant in primary montane forest (1125 – 1350 m), uncommon in mossy forest (1550 – 1750 m), and absent in disturbed lowland forest (475 – 900 m) on Mt. Isarog, southern Luzon, and also in montane forest at 925 m elevation in Balbalasang, Kalinga Province.
SHOW LESS",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Isarog striped shrew-rat,Mount isarog striped rat,"The Isarog striped shrew-rat or Mount Isarog striped rat (Chrotomys gonzalesi ) is a species of rodent in the family Muridae found only in the Philippines.
Its natural habitat is subtropical or tropical dry forests.
SHOW LESS",Animalia,Chordata,,Mammalia,Eulipotyphla,Muridae,Chrotomys,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Greater Mindanao shrew,,The Greater Mindanao shrew (Crocidura grandis ) is a species of mammal in the family Soricidae. It is endemic to the Philippines. Its natural habitat is subtropical or tropical dry forests. It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Rodentia,Soricidae,Crocidura,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Davao squirrel,,The Davao squirrel (Sundasciurus davensis ) is a species of rodent in the family Sciuridae. It is endemic to the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Sciuridae,Sundasciurus,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Large Luzon forest rat,,"The Large Luzon Forest Rat, or Luzon Forest Rat (Bullimus luzonicus ) is a species of rodent, the first of three to be described in the genus Bullimus. It is in the diverse family Muridae. It is found only in the Philippines. The rat has been recorded in Aurora, Benguet, and Camarines Sur provinces, and in Balbalasang, Kalinga province.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Bullimus,,,,,,,,,,,,,,,,,,,,,Least concern (LC)
Southern Palawan tree squirrel,,"The Southern Palawan tree squirrel (Sundasciurus steerii ) (local name ""bising"") is a species of rodent in the family Sciuridae. It is endemic to the Philippines. Its natural habitat is subtropical or tropical dry forests.",Animalia,Chordata,,Mammalia,Rodentia,Sciuridae,Sundasciurus,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Tawitawi forest rat,Tawitawi island rat,"The Tawitawi forest rat or Tawitawi Island rat (Rattus tawitawiensis ) is a species of rodent in the family Muridae.It is found only in Tawi-Tawi, Philippines.",Animalia,Chordata,,Mammalia,Eulipotyphla,Muridae,Rattus,,,,,,,,,,,,,,,,,,,,Unknown,Near Threatened (NT)
Palawan shrew,,"The Palawan shrew (Crocidura palawanensis ) is a species of mammal in the family Soricidae. It is endemic to the Philippines and known from Palawan and Balabac Islands, from sea level to 1,300 m (4,300 ft) asl. It occurs in old growth and scrubby secondary forest. Habitat loss (deforestation) is a potential threat to this little known species, although it seems to tolerate habitat loss and modification.",Animalia,Chordata,,Mammalia,Rodentia,Soricidae,Crocidura,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Spiny long-footed rat,Mindanao spiny rat,"The spiny long-footed rat (Tarsomys echinatus ), also known as the Mindanao spiny rat, is a species of rodent in the family Muridae.
It is found only in Mindanao, Philippines, in Bukidnon and South Cotabato provinces. It has been recorded in lowland areas around Mount Kitanglad and Mount Matutum.
SHOW LESS",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Tarsomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
White-bellied Luzon tree rat,,The white-bellied Luzon tree rat (Carpomys phaeurus ) is a species of rodent in the family Muridae.It is found only in Philippines.Its natural habitat is subtropical or tropical dry forests.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Carpomys,,,,,,,,,,,,,,,,,,,,Unknown,Vulnerable (VU)
Mindanao hairy-tailed rat,,The Mindanao hairy-tailed rat (Batomys salomonseni ) is one of five species of rodent in the genus Batomys. It is in the diverse family Muridae. This species is found only in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Batomys,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Palawan montane squirrel,,The Palawan montane squirrel (Sundasciurus rabori ) is a species of rodent in the family Sciuridae. It is endemic to the Philippines. Its natural habitat is subtropical or tropical dry forests. It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Rodentia,Sciuridae,Sundasciurus,,,,,,,,,,,,,,,,,,,,,Least concern (LC)
Mindanao squirrel,,The Mindanao squirrel (Sundasciurus mindanensis ) is a species of rodent in the family Sciuridae. It is endemic to the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Sciuridae,Sundasciurus,,,,,,,,,,,,,,,,,,,,Stable,
Mount Isarog shrew-mouse,,The Mount Isarog shrew-mouse (Archboldomys luzonensis ) is a species of rodent in the family Muridae found only in the Philippines. Its natural habitat is subtropical or tropical dry forest. It is threatened by habitat loss due to logging operations.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Archboldomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Long-footed rat,,"The long-footed rat (Tarsomys apoensis ) is a species of rodent in the family Muridae.
It is found only in the highlands of Mindanao, Philippines, including Mount Apo, Mount Kitanglad, and Mount Malindang.",Animalia,Chordata,,Mammalia,Eulipotyphla,Muridae,Tarsomys,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Mindoro shrew,,The Mindoro shrew (Crocidura mindorus ) is a species of mammal in the family Soricidae. It is endemic to the Philippines. It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Chiroptera,Soricidae,Crocidura,,,,,,,,,,,,,,,,,,,,Unknown,Near Threatened (NT)
Philippine forest horseshoe bat,,The Philippine forest horseshoe bat (Rhinolophus inops ) is a species of bat in the family Rhinolophidae. It is endemic to the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Rhinolophidae,Rhinolophus,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Luzon short-nosed rat,,"The Luzon short-nosed rat (Tryphomys adustus ) is a species of rodent in the family Muridae. It is the only species in the genus Tryphomys.It is found only in the Philippines, and is known only from Benguet, Laguna, and Tarlac provinces.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Tryphomys,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Luzon Cordillera forest mouse,,The Luzon Cordillera forest mouse (Apomys abrae ) is a species of rodent in the family Muridae found only in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Least forest mouse,,The least forest mouse (Apomys musculus ) is a species of rodent in the family Muridae.It is found only in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Apomys,,,,,,,,,,,,,,,,,,,,Unknown,
Palawan soft-furred mountain rat,,"The Palawan soft-furred mountain rat (Palawanomys furvus ) is a species of rodent in the family Muridae. It is the only species in the genus Palawanomys.It is found only in Palawan, Philippines, and has been recorded on Mount Mantalingajan.",Animalia,Chordata,,Mammalia,Eulipotyphla,Muridae,Palawanomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Panay shrew,,The Panay shrew (Crocidura panayensis ) is a species of shrew from the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Soricidae,Crocidura,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Mindoro striped rat,,The Mindoro striped rat (Chrotomys mindorensis ) is a species of rodent in the family Muridae.It is found only in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Chrotomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Large-toothed hairy-tailed rat,,The large-toothed hairy-tailed rat (Batomys dentatus ) is one of five species of rodent in the genus Batomys. It is in the diverse family Muridae.This species is found only in Philippines.Its natural habitat is subtropical or tropical dry forests.,Animalia,Chordata,,Mammalia,Chiroptera,Muridae,Batomys,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Small rufous horseshoe bat,,"The small rufous horseshoe bat (Rhinolophus subrufus ) is a species of bat in the family Rhinolophidae. It is endemic to the Philippines on the island of Camiguin, Catanduanes, Luzon, Mindanao and Mindoro at elevations from sea level to 1,000m.",Animalia,Chordata,,Mammalia,Rodentia,Rhinolophidae,Rhinolophus,,,,,,,,,,,,,,,,,,,,Increasing,Data deficient (DD)
Palawan spiny rat,,The Palawan spiny rat (Maxomys panglima ) is a species of rodent in the family Muridae.It is found only in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Maxomys,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Rhynchomys labo,Labo shrew rat,The Labo shrew rat (Rhynchomys labo ) is a species of shrewlike rat in the subfamily Murinae. It was discovered at elevations above 1250 m on Mt. Labo of the Bicol Peninsula of Luzon in the Philippines and described in 2019.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Rhynchomys,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Banahao shrew-rat,,The Banahao shrew-rat (Rhynchomys banahao ) is a species of rodent in the genus Rhynchomys. It was described in 2007.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Rhynchomys,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Culion tree squirrel,,The Culion tree squirrel (Sundasciurus moellendorffi ) is a species of rodent in the family Sciuridae. It is endemic to the Philippines. Its natural habitat is subtropical or tropical dry forests. It is threatened by habitat loss.,Animalia,Chordata,,Mammalia,Rodentia,Sciuridae,Sundasciurus,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Blazed Luzon shrew-rat,"Blazed Luzon shrew-rat, Blazed luzon shrew rat","The blazed Luzon shrew rat (Chrotomys silaceus ) is a species of rodent in the family Muridae, endemic to the Philippines.",Animalia,Chordata,,Mammalia,Rodentia,Muridae,Chrotomys,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Busuanga squirrel,,The Busuanga squirrel (Sundasciurus hoogstraali ) is a species of rodent in the family Sciuridae. It is endemic to the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Sciuridae,Sundasciurus,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Isarog shrew-rat,,The Isarog shrew-rat or Mt Isarog shrew-rat (Rhynchomys isarogensis ) is a species of rodent in the family Muridae.It is found only in the Philippines.,Animalia,Chordata,,Mammalia,Rodentia,Muridae,Rhynchomys,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
